Trip.Miles	Fare	Date	Trip.Min	Trip.ID	Hour	Time
2.3	10.25	01/07(Sat.)	12.0	d415a0db684ada8142cb7c942b50acc4b146296f	21	Evening
1.7	7.75	01/01(Sun.)	8.0	575164d0e94ff19fb29135045c3964f262f8b9d0	19	Evening
1.5	8.0	01/04(Wed.)	10.0	7afb2f58c2e7b93c24bc46ec38fe0db3f5bdb8d4	18	Evening
0.5	5.25	01/05(Thu.)	5.0	7a9cf2e358d320d4f1b19583bd0d01558c5b201f	19	Evening
4.7	14.75	01/01(Sun.)	14.0	f5d8e73973a068914ceb65a0e6cd51d3943ce87c	2	Night
0.0	6.5	01/04(Wed.)	4.0	08da57c763de5bd849591a382af52d3f189e668e	1	Night
1.3	6.75	01/02(Mon.)	6.0	64d19abf681b1828579121242323313760d16fae	12	Afternoon
1.0	6.75	01/01(Sun.)	8.0	3ae456cc1c04db2204e6aa9db5e15028f2806dad	2	Night
0.6	7.5	01/01(Sun.)	12.0	b8271fbbc0beb5171311fe8c667fd6d3ca955743	1	Night
0.9	5.75	01/02(Mon.)	5.0	14ff509d73a069c15db8a01d548530ab2be54630	14	Afternoon
3.6	12.0	01/05(Thu.)	12.0	e22aa53a06adcbacd08c03455203b9fa45960b24	8	Morning
0.1	11.25	01/07(Sat.)	16.0	55edcbaa7f95eb781fc23ea89ee2ffabae047f3d	10	Morning
1.3	6.75	01/02(Mon.)	5.0	4faa2c8805dafdb8004a7e8164c73c135c6536f7	8	Morning
0.0	6.75	01/03(Tue.)	5.0	486ddfe2d1e59b0fa2a024eb57e66e0c0852f0c7	8	Morning
0.0	3.25	01/01(Sun.)	0.0	b9169c2cc8529b90846258c6d82dbac9ce178546	2	Night
4.9	16.0	01/04(Wed.)	17.0	2e3cf27fade85ec966519ac6b15f6bd5b2363e90	18	Evening
0.8	5.5	01/05(Thu.)	4.0	4a5a9beaa8d1de925eec01abd03bd0c11c73f30c	12	Afternoon
0.0	5.75	01/05(Thu.)	5.0	3c3b6c420845a26706d6b4a9ad43204583b036a8	10	Morning
0.0	6.75	01/05(Thu.)	9.0	0cd3b5b9cbc4f222fe83c16151eb02be08080824	19	Evening
0.5	5.5	01/05(Thu.)	6.0	1b953391f9fbc9e1f136347917e523178413ff9d	16	Afternoon
11.4	34.75	01/06(Fri.)	47.0	93cc0a1d80c2b721578d8af0166f48fdfd336374	14	Afternoon
0.52	5.0	01/07(Sat.)	4.0	c9da8b6b6a7fb8931f19cbe817ac8fd2fc402a98	19	Evening
0.0	6.0	01/06(Fri.)	7.0	b251a445017c47945fbe619d78bf8fdaab22277d	18	Evening
14.4	38.75	01/01(Sun.)	37.0	812eb72c3f501a12bed513deaf2ec234dce2e958	20	Evening
1.2	7.25	01/05(Thu.)	7.0	79ea935145d8edd43df54e66b597d0de61d2da1c	15	Afternoon
0.87	5.75	01/01(Sun.)	5.0	700f7b4e8a2bbbf8ea804798a1d2fb6882a92df3	23	Evening
17.2	42.5	01/07(Sat.)	25.0	f18a177a4f0aa43c00f2a0d31f0aa8d52bc9c72c	12	Afternoon
0.6	5.0	01/01(Sun.)	4.0	f666e5680f9480d8eae31a129c6e1ad13bdbc7c5	1	Night
18.0	44.25	01/02(Mon.)	25.0	4285bf0544ad17f0d0c061f216ebf57cd87c4bd4	22	Evening
16.6	42.25	01/02(Mon.)	27.0	91628bded0c718bc11ba9c5dfb044d73c93e95b5	20	Evening
1.2	6.25	01/03(Tue.)	5.0	89105e3ad5c630613af9699fc67f95a543771a6e	20	Evening
0.9	6.0	01/06(Fri.)	5.0	b704e7b27db0c5f07891f452d1399652aab74044	1	Night
1.1	6.0	01/04(Wed.)	5.0	8deae7e56fd8dcfb6b6ba4ca08f984bdd3faa5ed	7	Morning
0.8	5.5	01/04(Wed.)	5.0	1b0aa2e5e81f1316797fa0d328e4fd78f5ef4cb1	10	Morning
1.0	7.0	01/03(Tue.)	9.0	8e2a21a5ce7bbd4f5b6ecdc8ba448748c54fa47c	15	Afternoon
2.3	9.25	01/04(Wed.)	10.0	ae7d96c8625cbd9c60925dd924d238aa337616d3	21	Evening
0.6	4.75	01/05(Thu.)	3.0	8c5c721c78482da231fa2958c03e71ce30e92a54	12	Afternoon
0.6	28.75	01/06(Fri.)	23.0	c763f94995e7fd8b4bbc3bb643ffb2b4bafa7fda	10	Morning
17.6	44.5	01/06(Fri.)	35.0	be1715b19177ca71231ed680a0c1eb2119bfd0a4	15	Afternoon
0.0	78.0	01/03(Tue.)	0.0	71d55ce344c8c6225d4ab660832cd0505e4e64b8	10	Morning
1.4	7.5	01/01(Sun.)	8.0	6e58d55517c22605a6a7b6e078b81484e38ab5df	0	Night
0.2	3.75	01/02(Mon.)	1.0	82608d3f2e1842363f4f91c69f54478a1a18d82e	0	Night
1.1	6.5	01/05(Thu.)	6.0	0fd713f58361c6f562a827dffc1c343fc8c85955	20	Evening
0.0	5.75	01/05(Thu.)	5.0	4e5d2d03bcf171f82082c6b99cf64e91f07c9095	8	Morning
8.8	24.25	01/06(Fri.)	18.0	5cc4c4975fa55d77c89cf1800258d716277178c9	21	Evening
1.9	8.25	01/05(Thu.)	8.0	91110d54990bce4078caa7a1790992a58ebc2802	16	Afternoon
1.02	5.75	01/07(Sat.)	4.73333333333	b61534a645fb89da30cfc644a392255963ff27b9	22	Evening
3.8	11.75	01/05(Thu.)	6.0	0b1039f5eabec85a2f924fa80e0e85a73330a2b2	23	Evening
1.0	6.75	01/05(Thu.)	7.0	284835e6853650891864d30b92df4a860ed6af1b	16	Afternoon
1.17	6.75	01/01(Sun.)	7.616667	0ea135156c5c5cd25b31680317717d47ee6aba3a	0	Night
7.8	22.0	01/06(Fri.)	18.0	e74f8bb3c9eb47ec02e7f13fc265d238c0da4656	22	Evening
0.0	6.75	01/03(Tue.)	7.0	b94ad191bffc7745d1658f8ebfc33475be0bf1c4	9	Morning
14.8	38.5	01/04(Wed.)	27.0	6a776fe9e26c6aba445196b4f6fc98480793ee31	22	Evening
10.9	28.25	01/05(Thu.)	19.0	1e064e94b05d37113ebd5164c0cbab8d24683fcf	4	Night
0.7	5.0	01/07(Sat.)	4.0	285e2f2f0d73422e4a29d5720701cc0c14f43834	19	Evening
2.1	8.5	01/06(Fri.)	8.0	9af08c901952a69c1a4b9ce7ac17ae2420cf6430	7	Morning
